Antecedente,Consequente,Suporte,Confianca,Lift,Quantidade_antecedente,Pergunta,Resposta,Classificacao,Analise_critica,Utilidade
"{genero_ficcao_cientifica, periodo_2010_2018}",{genero_acao},0.02247191011235955,0.7454545454545455,2.9312108150470224,2,"Quando um filme apresenta gênero ficção científica e lançamento entre 2010 e 2018, com que frequência ele também apresenta gênero ação?","Na amostra, 74.55% dos filmes com gênero ficção científica e lançamento entre 2010 e 2018 também apresentam gênero ação. A regra ocorre em 2.25% de todos os filmes e possui lift 2.93, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_misterio}",{genero_suspense},0.03206357906275692,0.6923076923076923,2.8384615384615386,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero mistério, com que frequência ele também apresenta gênero suspense?","Na amostra, 69.23% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero mistério também apresentam gênero suspense. A regra ocorre em 3.21% de todos os filmes e possui lift 2.84, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_aventura, genero_ficcao_cientifica}",{genero_acao},0.03672238969580707,0.7204301075268817,2.8328119206525773,2,"Quando um filme apresenta gênero aventura e gênero ficção científica, com que frequência ele também apresenta gênero ação?","Na amostra, 72.04% dos filmes com gênero aventura e gênero ficção científica também apresentam gênero ação. A regra ocorre em 3.67% de todos os filmes e possui lift 2.83, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_misterio, popularidade_media}",{genero_suspense},0.025212386955330228,0.6764705882352942,2.7735294117647062,2,"Quando um filme apresenta gênero mistério e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero suspense?","Na amostra, 67.65% dos filmes com gênero mistério e popularidade intermediária (10 a 49 avaliações) também apresentam gênero suspense. A regra ocorre em 2.52% de todos os filmes e possui lift 2.77, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_misterio},{genero_suspense},0.04741024938339271,0.6705426356589147,2.7492248062015503,1,"Quando um filme apresenta gênero mistério, com que frequência ele também apresenta gênero suspense?","Na amostra, 67.05% dos filmes com gênero mistério também apresentam gênero suspense. A regra ocorre em 4.74% de todos os filmes e possui lift 2.75, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_drama, genero_misterio}",{genero_suspense},0.024390243902439025,0.6496350364963503,2.6635036496350364,2,"Quando um filme apresenta gênero drama e gênero mistério, com que frequência ele também apresenta gênero suspense?","Na amostra, 64.96% dos filmes com gênero drama e gênero mistério também apresentam gênero suspense. A regra ocorre em 2.44% de todos os filmes e possui lift 2.66, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_acao, genero_crime}",{genero_suspense},0.03590024664291587,0.6328502415458938,2.5946859903381645,2,"Quando um filme apresenta gênero ação e gênero crime, com que frequência ele também apresenta gênero suspense?","Na amostra, 63.29% dos filmes com gênero ação e gênero crime também apresentam gênero suspense. A regra ocorre em 3.59% de todos os filmes e possui lift 2.59, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_aventura, periodo_2010_2018}",{genero_acao},0.023568100849547823,0.6466165413533835,2.54256870624838,2,"Quando um filme apresenta gênero aventura e lançamento entre 2010 e 2018, com que frequência ele também apresenta gênero ação?","Na amostra, 64.66% dos filmes com gênero aventura e lançamento entre 2010 e 2018 também apresentam gênero ação. A regra ocorre em 2.36% de todos os filmes e possui lift 2.54, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_ficcao_cientifica, genero_suspense}",{genero_acao},0.030419292956974514,0.6416184971098267,2.5229158361570665,2,"Quando um filme apresenta gênero ficção científica e gênero suspense, com que frequência ele também apresenta gênero ação?","Na amostra, 64.16% dos filmes com gênero ficção científica e gênero suspense também apresentam gênero ação. A regra ocorre em 3.04% de todos os filmes e possui lift 2.52, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_baixa, genero_aventura}",{genero_acao},0.02877500685119211,0.6402439024390244,2.5175107758620694,2,"Quando um filme apresenta avaliação média baixa (menor que 3,0) e gênero aventura, com que frequência ele também apresenta gênero ação?","Na amostra, 64.02% dos filmes com avaliação média baixa (menor que 3,0) e gênero aventura também apresentam gênero ação. A regra ocorre em 2.88% de todos os filmes e possui lift 2.52, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_terror, popularidade_media}",{genero_suspense},0.024116196218141955,0.6111111111111112,2.505555555555556,2,"Quando um filme apresenta gênero terror e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero suspense?","Na amostra, 61.11% dos filmes com gênero terror e popularidade intermediária (10 a 49 avaliações) também apresentam gênero suspense. A regra ocorre em 2.41% de todos os filmes e possui lift 2.51, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_imax},{genero_acao},0.020827624006577145,0.628099173553719,2.469756340837846,1,"Quando um filme apresenta formato IMAX, com que frequência ele também apresenta gênero ação?","Na amostra, 62.81% dos filmes com formato IMAX também apresentam gênero ação. A regra ocorre em 2.08% de todos os filmes e possui lift 2.47, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_baixa, genero_ficcao_cientifica}",{genero_acao},0.024938339271033158,0.6232876712328766,2.450836974492206,2,"Quando um filme apresenta avaliação média baixa (menor que 3,0) e gênero ficção científica, com que frequência ele também apresenta gênero ação?","Na amostra, 62.33% dos filmes com avaliação média baixa (menor que 3,0) e gênero ficção científica também apresentam gênero ação. A regra ocorre em 2.49% de todos os filmes e possui lift 2.45, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_aventura, popularidade_alta}",{genero_acao},0.022197862428062484,0.6136363636363636,2.4128869514106586,2,"Quando um filme apresenta gênero aventura e popularidade alta (50 ou mais avaliações), com que frequência ele também apresenta gênero ação?","Na amostra, 61.36% dos filmes com gênero aventura e popularidade alta (50 ou mais avaliações) também apresentam gênero ação. A regra ocorre em 2.22% de todos os filmes e possui lift 2.41, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_ficcao_cientifica, periodo_2000_2009}",{genero_acao},0.02466429158673609,0.6122448979591836,2.4074155524278673,2,"Quando um filme apresenta gênero ficção científica e lançamento entre 2000 e 2009, com que frequência ele também apresenta gênero ação?","Na amostra, 61.22% dos filmes com gênero ficção científica e lançamento entre 2000 e 2009 também apresentam gênero ação. A regra ocorre em 2.47% de todos os filmes e possui lift 2.41, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_suspense, popularidade_alta}",{genero_acao},0.020279528637983008,0.6115702479338843,2.40476275292106,2,"Quando um filme apresenta gênero suspense e popularidade alta (50 ou mais avaliações), com que frequência ele também apresenta gênero ação?","Na amostra, 61.16% dos filmes com gênero suspense e popularidade alta (50 ou mais avaliações) também apresentam gênero ação. A regra ocorre em 2.03% de todos os filmes e possui lift 2.40, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_crime, periodo_2000_2009}",{genero_suspense},0.031241436009865717,0.5757575757575758,2.360606060606061,2,"Quando um filme apresenta gênero crime e lançamento entre 2000 e 2009, com que frequência ele também apresenta gênero suspense?","Na amostra, 57.58% dos filmes com gênero crime e lançamento entre 2000 e 2009 também apresentam gênero suspense. A regra ocorre em 3.12% de todos os filmes e possui lift 2.36, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_ficcao_cientifica, popularidade_media}",{genero_acao},0.043025486434639625,0.5902255639097744,2.3208330632616025,2,"Quando um filme apresenta gênero ficção científica e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero ação?","Na amostra, 59.02% dos filmes com gênero ficção científica e popularidade intermediária (10 a 49 avaliações) também apresentam gênero ação. A regra ocorre em 4.30% de todos os filmes e possui lift 2.32, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_terror}",{genero_suspense},0.02384214853384489,0.564935064935065,2.316233766233766,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero terror, com que frequência ele também apresenta gênero suspense?","Na amostra, 56.49% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero terror também apresentam gênero suspense. A regra ocorre em 2.38% de todos os filmes e possui lift 2.32, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_crime, periodo_1990_1999}",{genero_suspense},0.023568100849547823,0.5620915032679739,2.304575163398693,2,"Quando um filme apresenta gênero crime e lançamento entre 1990 e 1999, com que frequência ele também apresenta gênero suspense?","Na amostra, 56.21% dos filmes com gênero crime e lançamento entre 1990 e 1999 também apresentam gênero suspense. A regra ocorre em 2.36% de todos os filmes e possui lift 2.30, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_crime}",{genero_suspense},0.05234310770073993,0.5504322766570605,2.2567723342939483,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime, com que frequência ele também apresenta gênero suspense?","Na amostra, 55.04% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime também apresentam gênero suspense. A regra ocorre em 5.23% de todos os filmes e possui lift 2.26, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_crime, genero_drama}",{genero_suspense},0.040559057275966016,0.550185873605948,2.2557620817843866,2,"Quando um filme apresenta gênero crime e gênero drama, com que frequência ele também apresenta gênero suspense?","Na amostra, 55.02% dos filmes com gênero crime e gênero drama também apresentam gênero suspense. A regra ocorre em 4.06% de todos os filmes e possui lift 2.26, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_ficcao_cientifica},{genero_acao},0.07618525623458482,0.5720164609053497,2.249232829572868,1,"Quando um filme apresenta gênero ficção científica, com que frequência ele também apresenta gênero ação?","Na amostra, 57.20% dos filmes com gênero ficção científica também apresentam gênero ação. A regra ocorre em 7.62% de todos os filmes e possui lift 2.25, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
