Numero,Antecedente,Consequente,Suporte,Confianca,Lift,Ocorrencias_antecedente,Ocorrencias_conjuntas,Classificacao,Pergunta,Resposta,Discussao_critica,Utilidade
11,"{genero_ficcao_cientifica, genero_suspense}",{genero_acao},0.030419292956974514,0.6416184971098265,2.522915836157066,173,111,interessante,Que padrão foi encontrado entre gênero ficção científica e gênero suspense e gênero ação?,"Entre os 173 filmes com gênero ficção científica e gênero suspense, 111 também apresentam gênero ação (64.16%). A combinação representa 3.04% da amostra e possui lift 2.52, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Ficção científica combinada com suspense apresenta ação muito acima da frequência geral. É um padrão de hibridização parcialmente dependente da rotulagem editorial.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
12,"{avaliacao_baixa, genero_aventura}",{genero_acao},0.02877500685119211,0.6402439024390244,2.5175107758620694,164,105,potencialmente surpreendente,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero aventura e gênero ação?","Entre os 164 filmes com avaliação média baixa (menor que 3,0) e gênero aventura, 105 também apresentam gênero ação (64.02%). A combinação representa 2.88% da amostra e possui lift 2.52, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Mesmo entre aventuras de avaliação baixa, ação permanece frequente. Isso pode refletir concentração de títulos de ação-aventura mal avaliados, sem indicar que ação reduza a nota.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
13,"{genero_terror, popularidade_media}",{genero_suspense},0.024116196218141955,0.6111111111111112,2.505555555555556,144,88,interessante,Que padrão foi encontrado entre gênero terror e popularidade intermediária (10 a 49 avaliações) e gênero suspense?,"Entre os 144 filmes com gênero terror e popularidade intermediária (10 a 49 avaliações), 88 também apresentam gênero suspense (61.11%). A combinação representa 2.41% da amostra e possui lift 2.51, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Terror com popularidade intermediária apresenta suspense 2,5 vezes acima do esperado. A proximidade temática explica parte do resultado; popularidade apenas define o subconjunto.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
14,{genero_imax},{genero_acao},0.020827624006577145,0.628099173553719,2.469756340837846,121,76,interessante,Que padrão foi encontrado entre formato IMAX e gênero ação?,"Entre os 121 filmes com formato IMAX, 76 também apresentam gênero ação (62.81%). A combinação representa 2.08% da amostra e possui lift 2.47, logo ocorre acima do que seria esperado pela frequência geral do consequente.","IMAX aparece associado a ação, coerente com produções de grande espetáculo. O suporte é baixo porque IMAX é raro, mas o lift confirma concentração acima da frequência-base.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
15,"{avaliacao_baixa, genero_ficcao_cientifica}",{genero_acao},0.024938339271033158,0.6232876712328768,2.4508369744922063,146,91,potencialmente surpreendente,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero ficção científica e gênero ação?","Entre os 146 filmes com avaliação média baixa (menor que 3,0) e gênero ficção científica, 91 também apresentam gênero ação (62.33%). A combinação representa 2.49% da amostra e possui lift 2.45, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Ficção científica com avaliação baixa continua associada à ação. Pode representar títulos de ação e ficção científica menos bem recebidos, não um efeito causal do gênero.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
16,"{genero_aventura, popularidade_alta}",{genero_acao},0.022197862428062484,0.6136363636363636,2.4128869514106586,132,81,interessante,Que padrão foi encontrado entre gênero aventura e popularidade alta (50 ou mais avaliações) e gênero ação?,"Entre os 132 filmes com gênero aventura e popularidade alta (50 ou mais avaliações), 81 também apresentam gênero ação (61.36%). A combinação representa 2.22% da amostra e possui lift 2.41, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Entre aventuras muito avaliadas, ação é mais de duas vezes mais frequente que no catálogo geral. A maior visibilidade de franquias pode contribuir para o padrão.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
17,"{genero_suspense, popularidade_alta}",{genero_acao},0.020279528637983008,0.6115702479338843,2.40476275292106,121,74,interessante,Que padrão foi encontrado entre gênero suspense e popularidade alta (50 ou mais avaliações) e gênero ação?,"Entre os 121 filmes com gênero suspense e popularidade alta (50 ou mais avaliações), 74 também apresentam gênero ação (61.16%). A combinação representa 2.03% da amostra e possui lift 2.40, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Suspenses muito avaliados concentram ação. Isso pode refletir maior exposição de thrillers de ação em comparação com suspenses de nicho.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
18,"{genero_crime, periodo_2000_2009}",{genero_suspense},0.031241436009865717,0.5757575757575758,2.360606060606061,198,114,interessante,Que padrão foi encontrado entre gênero crime e lançamento entre 2000 e 2009 e gênero suspense?,"Entre os 198 filmes com gênero crime e lançamento entre 2000 e 2009, 114 também apresentam gênero suspense (57.58%). A combinação representa 3.12% da amostra e possui lift 2.36, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Crime nos anos 2000 associa-se a suspense acima da frequência-base. A regra descreve o catálogo da década e não deve ser generalizada para toda a produção cinematográfica.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
19,"{avaliacao_media, genero_terror}",{genero_suspense},0.02384214853384489,0.564935064935065,2.316233766233766,154,87,"interessante, embora plausível","Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero terror e gênero suspense?","Entre os 154 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero terror, 87 também apresentam gênero suspense (56.49%). A combinação representa 2.38% da amostra e possui lift 2.32, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Terror com avaliação intermediária associa-se fortemente a suspense. A proximidade dos gêneros explica parte do resultado; o valor está em quantificar a sobreposição.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
20,"{genero_crime, periodo_1990_1999}",{genero_suspense},0.023568100849547823,0.5620915032679739,2.304575163398693,153,86,interessante,Que padrão foi encontrado entre gênero crime e lançamento entre 1990 e 1999 e gênero suspense?,"Entre os 153 filmes com gênero crime e lançamento entre 1990 e 1999, 86 também apresentam gênero suspense (56.21%). A combinação representa 2.36% da amostra e possui lift 2.30, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A associação crime-suspense também aparece nos anos 1990, sugerindo persistência temporal. Ela reflete a composição dos filmes incluídos no MovieLens.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
21,"{avaliacao_media, genero_crime}",{genero_suspense},0.05234310770073993,0.5504322766570605,2.2567723342939483,347,191,interessante,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime e gênero suspense?","Entre os 347 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime, 191 também apresentam gênero suspense (55.04%). A combinação representa 5.23% da amostra e possui lift 2.26, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Crime com avaliação intermediária apresenta suspense mais de duas vezes acima do esperado. Como avaliação intermediária é dominante, o lift é mais informativo que a confiança isolada.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
22,"{genero_crime, genero_drama}",{genero_suspense},0.040559057275966016,0.550185873605948,2.2557620817843866,269,148,interessante,Que padrão foi encontrado entre gênero crime e gênero drama e gênero suspense?,"Entre os 269 filmes com gênero crime e gênero drama, 148 também apresentam gênero suspense (55.02%). A combinação representa 4.06% da amostra e possui lift 2.26, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A combinação crime-drama associa-se a suspense, caracterizando narrativas híbridas. Parte do padrão pode resultar de práticas de catalogação múltipla.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
23,{genero_ficcao_cientifica},{genero_acao},0.07618525623458482,0.5720164609053497,2.249232829572868,486,278,"interessante, mas ampla",Que padrão foi encontrado entre gênero ficção científica e gênero ação?,"Entre os 486 filmes com gênero ficção científica, 278 também apresentam gênero ação (57.20%). A combinação representa 7.62% da amostra e possui lift 2.25, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Ação é mais de duas vezes mais frequente entre filmes de ficção científica que no catálogo geral. O suporte relativamente alto torna a regra útil como síntese, embora menos específica.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
24,"{avaliacao_baixa, genero_romance}",{genero_comedia},0.02466429158673609,0.6766917293233082,1.6695389589592644,133,90,potencialmente surpreendente,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero romance e gênero comédia?","Entre os 133 filmes com avaliação média baixa (menor que 3,0) e gênero romance, 90 também apresentam gênero comédia (67.67%). A combinação representa 2.47% da amostra e possui lift 1.67, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Romances de avaliação baixa aparecem frequentemente como comédias, sugerindo concentração de comédias românticas nesse subconjunto. Pode refletir preferências dos usuários.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
25,"{avaliacao_alta, popularidade_media}",{genero_drama},0.037270485064401206,0.7157894736842105,1.6355139570905974,190,136,interessante,"Que padrão foi encontrado entre avaliação média alta (igual ou superior a 4,0) e popularidade intermediária (10 a 49 avaliações) e gênero drama?","Entre os 190 filmes com avaliação média alta (igual ou superior a 4,0) e popularidade intermediária (10 a 49 avaliações), 136 também apresentam gênero drama (71.58%). A combinação representa 3.73% da amostra e possui lift 1.64, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes muito bem avaliados, mas de popularidade intermediária, concentram drama. Pode representar dramas reconhecidos por um público menor, embora a popularidade dependa da atividade dos usuários.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
26,{avaliacao_alta},{genero_drama},0.07947382844614963,0.6590909090909091,1.5059628849547446,440,290,"interessante, embora esperada","Que padrão foi encontrado entre avaliação média alta (igual ou superior a 4,0) e gênero drama?","Entre os 440 filmes com avaliação média alta (igual ou superior a 4,0), 290 também apresentam gênero drama (65.91%). A combinação representa 7.95% da amostra e possui lift 1.51, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Drama está sobre-representado entre filmes com média alta. O padrão pode refletir preferências da comunidade MovieLens e a composição do catálogo.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
27,"{avaliacao_baixa, genero_drama}",{popularidade_baixa},0.02850095916689504,0.5621621621621622,1.4864708186447317,185,104,interessante,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero drama e popularidade baixa (5 a 9 avaliações)?","Entre os 185 filmes com avaliação média baixa (menor que 3,0) e gênero drama, 104 também apresentam popularidade baixa (5 a 9 avaliações) (56.22%). A combinação representa 2.85% da amostra e possui lift 1.49, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Dramas de avaliação baixa tendem a ter poucas avaliações acima da frequência-base. Pode haver menor interesse, mas filmes pouco vistos também têm médias mais instáveis.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
28,"{avaliacao_baixa, periodo_1970_1989}",{popularidade_baixa},0.020827624006577145,0.5547445255474452,1.4668570824077012,137,76,interessante,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e lançamento entre 1970 e 1989 e popularidade baixa (5 a 9 avaliações)?","Entre os 137 filmes com avaliação média baixa (menor que 3,0) e lançamento entre 1970 e 1989, 76 também apresentam popularidade baixa (5 a 9 avaliações) (55.47%). A combinação representa 2.08% da amostra e possui lift 1.47, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes antigos e mal avaliados concentram-se na baixa popularidade. Idade, disponibilidade e preferência dos usuários podem explicar a associação.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
29,"{avaliacao_baixa, genero_comedia}",{popularidade_baixa},0.06796382570567279,0.5523385300668151,1.460495142183919,449,248,interessante,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero comédia e popularidade baixa (5 a 9 avaliações)?","Entre os 449 filmes com avaliação média baixa (menor que 3,0) e gênero comédia, 248 também apresentam popularidade baixa (5 a 9 avaliações) (55.23%). A combinação representa 6.80% da amostra e possui lift 1.46, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Comédias de avaliação baixa têm maior probabilidade de poucas avaliações. Nota e popularidade são ambas influenciadas pela seleção dos usuários.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
30,"{genero_ficcao_cientifica, periodo_2010_2018}",{popularidade_media},0.020005480953685942,0.6636363636363637,1.3312859213353991,110,73,interessante,Que padrão foi encontrado entre gênero ficção científica e lançamento entre 2010 e 2018 e popularidade intermediária (10 a 49 avaliações)?,"Entre os 110 filmes com gênero ficção científica e lançamento entre 2010 e 2018, 73 também apresentam popularidade intermediária (10 a 49 avaliações) (66.36%). A combinação representa 2.00% da amostra e possui lift 1.33, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Ficção científica recente concentra-se na popularidade intermediária. Isso mostra que nem todo título recente alcança alta exposição e pode refletir a janela de coleta.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
