banco,experimento,numero,antecedente,consequente,suporte,confianca,lift,pergunta,resposta,analise_critica
movie_recomm,catalogo_completo,19,"{avaliacao_media, genero_terror}",{genero_suspense},0.02384214853,0.5649350649,2.316233766,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero terror e gênero suspense?","Entre os 154 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero terror, 87 também apresentam gênero suspense (56.49%). A combinação representa 2.38% da amostra e possui lift 2.32, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Terror com avaliação intermediária associa-se fortemente a suspense. A proximidade dos gêneros explica parte do resultado; o valor está em quantificar a sobreposição.
movie_recomm,catalogo_completo,20,"{genero_crime, periodo_1990_1999}",{genero_suspense},0.02356810085,0.5620915033,2.304575163,Que padrão foi encontrado entre gênero crime e lançamento entre 1990 e 1999 e gênero suspense?,"Entre os 153 filmes com gênero crime e lançamento entre 1990 e 1999, 86 também apresentam gênero suspense (56.21%). A combinação representa 2.36% da amostra e possui lift 2.30, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A associação crime-suspense também aparece nos anos 1990, sugerindo persistência temporal. Ela reflete a composição dos filmes incluídos no MovieLens."
movie_recomm,catalogo_completo,21,"{avaliacao_media, genero_crime}",{genero_suspense},0.0523431077,0.5504322767,2.256772334,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime e gênero suspense?","Entre os 347 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime, 191 também apresentam gênero suspense (55.04%). A combinação representa 5.23% da amostra e possui lift 2.26, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Crime com avaliação intermediária apresenta suspense mais de duas vezes acima do esperado. Como avaliação intermediária é dominante, o lift é mais informativo que a confiança isolada."
movie_recomm,catalogo_completo,22,"{genero_crime, genero_drama}",{genero_suspense},0.04055905728,0.5501858736,2.255762082,Que padrão foi encontrado entre gênero crime e gênero drama e gênero suspense?,"Entre os 269 filmes com gênero crime e gênero drama, 148 também apresentam gênero suspense (55.02%). A combinação representa 4.06% da amostra e possui lift 2.26, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A combinação crime-drama associa-se a suspense, caracterizando narrativas híbridas. Parte do padrão pode resultar de práticas de catalogação múltipla."
movie_recomm,catalogo_completo,23,{genero_ficcao_cientifica},{genero_acao},0.07618525623,0.5720164609,2.24923283,Que padrão foi encontrado entre gênero ficção científica e gênero ação?,"Entre os 486 filmes com gênero ficção científica, 278 também apresentam gênero ação (57.20%). A combinação representa 7.62% da amostra e possui lift 2.25, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Ação é mais de duas vezes mais frequente entre filmes de ficção científica que no catálogo geral. O suporte relativamente alto torna a regra útil como síntese, embora menos específica."
movie_recomm,catalogo_completo,24,"{avaliacao_baixa, genero_romance}",{genero_comedia},0.02466429159,0.6766917293,1.669538959,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero romance e gênero comédia?","Entre os 133 filmes com avaliação média baixa (menor que 3,0) e gênero romance, 90 também apresentam gênero comédia (67.67%). A combinação representa 2.47% da amostra e possui lift 1.67, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Romances de avaliação baixa aparecem frequentemente como comédias, sugerindo concentração de comédias românticas nesse subconjunto. Pode refletir preferências dos usuários."
movie_recomm,catalogo_completo,25,"{avaliacao_alta, popularidade_media}",{genero_drama},0.03727048506,0.7157894737,1.635513957,"Que padrão foi encontrado entre avaliação média alta (igual ou superior a 4,0) e popularidade intermediária (10 a 49 avaliações) e gênero drama?","Entre os 190 filmes com avaliação média alta (igual ou superior a 4,0) e popularidade intermediária (10 a 49 avaliações), 136 também apresentam gênero drama (71.58%). A combinação representa 3.73% da amostra e possui lift 1.64, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes muito bem avaliados, mas de popularidade intermediária, concentram drama. Pode representar dramas reconhecidos por um público menor, embora a popularidade dependa da atividade dos usuários."
movie_recomm,catalogo_completo,26,{avaliacao_alta},{genero_drama},0.07947382845,0.6590909091,1.505962885,"Que padrão foi encontrado entre avaliação média alta (igual ou superior a 4,0) e gênero drama?","Entre os 440 filmes com avaliação média alta (igual ou superior a 4,0), 290 também apresentam gênero drama (65.91%). A combinação representa 7.95% da amostra e possui lift 1.51, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Drama está sobre-representado entre filmes com média alta. O padrão pode refletir preferências da comunidade MovieLens e a composição do catálogo.
movie_recomm,catalogo_completo,27,"{avaliacao_baixa, genero_drama}",{popularidade_baixa},0.02850095917,0.5621621622,1.486470819,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero drama e popularidade baixa (5 a 9 avaliações)?","Entre os 185 filmes com avaliação média baixa (menor que 3,0) e gênero drama, 104 também apresentam popularidade baixa (5 a 9 avaliações) (56.22%). A combinação representa 2.85% da amostra e possui lift 1.49, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Dramas de avaliação baixa tendem a ter poucas avaliações acima da frequência-base. Pode haver menor interesse, mas filmes pouco vistos também têm médias mais instáveis."
movie_recomm,catalogo_completo,28,"{avaliacao_baixa, periodo_1970_1989}",{popularidade_baixa},0.02082762401,0.5547445255,1.466857082,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e lançamento entre 1970 e 1989 e popularidade baixa (5 a 9 avaliações)?","Entre os 137 filmes com avaliação média baixa (menor que 3,0) e lançamento entre 1970 e 1989, 76 também apresentam popularidade baixa (5 a 9 avaliações) (55.47%). A combinação representa 2.08% da amostra e possui lift 1.47, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes antigos e mal avaliados concentram-se na baixa popularidade. Idade, disponibilidade e preferência dos usuários podem explicar a associação."
movie_recomm,catalogo_completo,29,"{avaliacao_baixa, genero_comedia}",{popularidade_baixa},0.06796382571,0.5523385301,1.460495142,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero comédia e popularidade baixa (5 a 9 avaliações)?","Entre os 449 filmes com avaliação média baixa (menor que 3,0) e gênero comédia, 248 também apresentam popularidade baixa (5 a 9 avaliações) (55.23%). A combinação representa 6.80% da amostra e possui lift 1.46, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Comédias de avaliação baixa têm maior probabilidade de poucas avaliações. Nota e popularidade são ambas influenciadas pela seleção dos usuários.
movie_recomm,catalogo_completo,30,"{genero_ficcao_cientifica, periodo_2010_2018}",{popularidade_media},0.02000548095,0.6636363636,1.331285921,Que padrão foi encontrado entre gênero ficção científica e lançamento entre 2010 e 2018 e popularidade intermediária (10 a 49 avaliações)?,"Entre os 110 filmes com gênero ficção científica e lançamento entre 2010 e 2018, 73 também apresentam popularidade intermediária (10 a 49 avaliações) (66.36%). A combinação representa 2.00% da amostra e possui lift 1.33, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Ficção científica recente concentra-se na popularidade intermediária. Isso mostra que nem todo título recente alcança alta exposição e pode refletir a janela de coleta.
